"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1960",8.51,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1961",8.63,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1962",8.76,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1963",9.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1964",9.4,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1965",9.73,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1966",9.96,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1967",10.34,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1968",10.72,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1969",11,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1970",11.19,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1971",10.86,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1972",11.07,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1973",11.59,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1974",12.48,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1975",12.85,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1976",12.89,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1977",13.72,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1978",13.24,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1979",13.52,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1980",13.96,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1981",13.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1982",14.07,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1983",13.11,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1984",13.35,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1985",13.94,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1986",13.83,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1987",14.25,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1988",14.57,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1989",15.12,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1990",15.21,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1991",15.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1992",15.16,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1993",15.25,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1994",15.44,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1995",15.85,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1996",16.2,
