"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","ENRG","IDX2015","A","1972",6.649913,
"AUS","CPI","ENRG","IDX2015","A","1973",6.900136,
"AUS","CPI","ENRG","IDX2015","A","1974",7.809128,
"AUS","CPI","ENRG","IDX2015","A","1975",9.325853,
"AUS","CPI","ENRG","IDX2015","A","1976",10.14962,
"AUS","CPI","ENRG","IDX2015","A","1977",10.88616,
"AUS","CPI","ENRG","IDX2015","A","1978",12.05611,
"AUS","CPI","ENRG","IDX2015","A","1979",15.34013,
"AUS","CPI","ENRG","IDX2015","A","1980",18.33085,
"AUS","CPI","ENRG","IDX2015","A","1981",21.18937,
"AUS","CPI","ENRG","IDX2015","A","1982",23.94829,
"AUS","CPI","ENRG","IDX2015","A","1983",27.02606,
"AUS","CPI","ENRG","IDX2015","A","1984",29.03665,
"AUS","CPI","ENRG","IDX2015","A","1985",31.77646,
"AUS","CPI","ENRG","IDX2015","A","1986",32.12911,
"AUS","CPI","ENRG","IDX2015","A","1987",33.93232,
"AUS","CPI","ENRG","IDX2015","A","1988",33.92731,
"AUS","CPI","ENRG","IDX2015","A","1989",35.38508,
"AUS","CPI","ENRG","IDX2015","A","1990",41.07044,
"AUS","CPI","ENRG","IDX2015","A","1991",41.25035,
"AUS","CPI","ENRG","IDX2015","A","1992",42.33044,
"AUS","CPI","ENRG","IDX2015","A","1993",42.76245,
"AUS","CPI","ENRG","IDX2015","A","1994",42.85668,
"AUS","CPI","ENRG","IDX2015","A","1995",44.25638,
"AUS","CPI","ENRG","IDX2015","A","1996",44.75401,
"AUS","CPI","ENRG","IDX2015","A","1997",45.54799,
"AUS","CPI","ENRG","IDX2015","A","1998",43.81802,
"AUS","CPI","ENRG","IDX2015","A","1999",44.66492,
"AUS","CPI","ENRG","IDX2015","A","2000",52.17069,
"AUS","CPI","ENRG","IDX2015","A","2001",53.45722,
"AUS","CPI","ENRG","IDX2015","A","2002",53.94569,
"AUS","CPI","ENRG","IDX2015","A","2003",56.68705,
"AUS","CPI","ENRG","IDX2015","A","2004",60.28475,
"AUS","CPI","ENRG","IDX2015","A","2005",66.19189,
"AUS","CPI","ENRG","IDX2015","A","2006",72.31474,
"AUS","CPI","ENRG","IDX2015","A","2007",73.4587,
"AUS","CPI","ENRG","IDX2015","A","2008",82.64883,
"AUS","CPI","ENRG","IDX2015","A","2009",77.43545,
"AUS","CPI","ENRG","IDX2015","A","2010",83.95667,
"AUS","CPI","ENRG","IDX2015","A","2011",93.14078,
"AUS","CPI","ENRG","IDX2015","A","2012",100.0577,
"AUS","CPI","ENRG","IDX2015","A","2013",106.4751,
"AUS","CPI","ENRG","IDX2015","A","2014",107.7425,
"AUS","CPI","ENRG","IDX2015","A","2015",100,
"AUS","CPI","ENRG","IDX2015","A","2016",96.82637,
"AUS","CPI","ENRG","IDX2015","A","2017",105.9774,
"AUS","CPI","ENRG","IDX2015","A","2018",118.4041,
"AUS","CPI","ENRG","IDX2015","A","2019",127.4843,
"AUS","CPI","ENRG","IDX2015","A","2020",124.801,
"AUS","CPI","ENRG","IDX2015","A","2021",138.4442,
"AUS","CPI","ENRG","IDX2015","A","2022",159.6264,
"AUS","CPI","FOOD","IDX2015","A","1970",9.504649,
"AUS","CPI","FOOD","IDX2015","A","1971",9.875331,
"AUS","CPI","FOOD","IDX2015","A","1972",10.26119,
"AUS","CPI","FOOD","IDX2015","A","1973",11.83716,
